"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Dikkat</strong>: Resim onayı (CAPTCHA) büyük/küçük harfe duyarlıdır."
"After number of attempts to login","Belli sayıda başarısız giriş denemesinden sonra"
"Always","Sürekli"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","CAPTCHA Zaman aşımı (dakika)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","Eğer seçerseniz ""Üye ol"" ve ""Şifremi unuttum"" formları için sürekli kullanımda olacaktır."
"Case Sensitive","Büyük/Küçük harfe duyarlı"
"Displaying Mode","Gösterim Modu"
"Enable CAPTCHA in Admin","Yönetici girişi için Resim Onayını kullan"
"Enable CAPTCHA on Frontend","Müşteri girişi için Resim Onayını kullan"
"Font","Font"
"Forms","Formlar"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Eğer 0 (sıfır) girerseniz, resim onayı sürekli kullanılacaktır."
"Incorrect CAPTCHA.","Hatalı Resim Onayı."
"Number of Symbols","Harf sayısı"
"Number of Unsuccessful Attempts to Login","Başarısız giriş denemesi sayısı"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Lütfen en fazla 8 karakter seçiniz. Aralık da girebilirsiniz (Örnek: 3-5)"
"Please type the letters below","Lütfen harfleri aşağıya yazınız"
"Please type the letters from the image:","Resimdeki harfleri yazınız :"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Lütfen bu alanda sadece harf (a-z or A-Z) ve rakam (0-9) kullanınız. Boşluk ve diğer karakterler kabul edilmemektedir.<br />Birbirine benzeyen karakterler (örnek ""i"", ""l"", ""1"") müşterinin işini zorlaştıracaktır."
"Reload captcha","Resmi yeniden yükle"
"Symbols Used in CAPTCHA","Resim Onayında Kullanılacak Semboller"
