"The requested quantity for ""%s"" is not available.","""%s"" adlı ürün için talep ettiğiniz miktar stokta bulunmamaktadır."
"Backorders","Ardısmarlama (Stokta olmayan ürünü ısmarlama)"
"No Backorders","Ardısmarlama kabul edilmez"
"The requested quantity is not available.","İstenen miktar bulunmamaktadır."
"Can not specify product identifier for order item","Ürün siparişi için gerekli ürün bilgisi belirlenmedi"
"Update the Product","Ürünü Güncelle"
"Minimum Qty for Items' Status to be In Stock","Ürünün stokta var olarak gözükmesi için gereken en az stok miktarı"
"Notify for Quantity Below","Stok alarmı için en düşük rakam"
"Inventory","Envanter"
"Rule price","Kural fiyatı"
"To Fixed Value","Sabit Fiyatlı"
"By Fixed value","Sabit fiyatlı"
"Allow Qty Below 0","Sıfırın altındaki adetlere izin ver"
"Allow Qty Below 0 and Notify Customer","Sıfırın altındaki adetlere izin ver ancak müşteriye bildir"
"Minimum Qty Allowed in Shopping Cart","Sepette izin verilen en düşük adet"
"Maximum Qty Allowed in Shopping Cart","Sepette izin verilen en yüksek adet"
"Decrease Stock When Order is Placed","Sipariş verildiğinde stoktan düş"
"Stock Options","Stok Seçenekleri"
"By Percentage","Yüzde ile"
"To Percentage","Yüzdeli"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"%s is not correct comparsion method.","%s geçerli bir karşılaştırma yöntemi değil."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Lütfen not ediniz</strong>, Bu ayarlar sadece sepetteki ürün satırları için geçerlidir, sepetin tamamına etki etmez."
"Catalog Inventory","Katalog Envanteri"
"In Stock","Stokta var"
"Inventory API","Envanter API si"
"Inventory Section","Envanter Bölümü"
"Manage Stock","Stok Yönetimi"
"Out of Stock","Stokta Yok"
"Product Stock Options","Ürün Stok Seçenekleri"
"Qty for Items' Status to become Out of Stock","Ürünün 'Stokta Yok' gözükmesi için gerekli adet"
"Retrieve stock data","Stok bilgisi al"
"Retrieve stock data by product ids","Ürün numaralarına göre stok bilgisi al"
"Set Items' Status to be In Stock When Order is Cancelled","Sipariş iptal edildiğinde ürünü stoğa iade et ve Stokta Var olarak göster"
"Some of the products are currently out of stock","Ürünlerden biri veya birkaçı stokta yok"
"Some of the products can not be ordered in requested quantity","Ürünlerden biri veya birkaçı istenen adette sipariş edilmedi"
"Some of the products cannot be ordered in the requested quantity","Ürünlerden biri veya birkaçı istenen adette sipariş edilmedi"
"Stock item for Product in option is not valid","Ürün seçeneklerindeki stok verisi geçersiz"
"Stock item for Product is not valid","Ürünün stok verisi geçersiz"
"The maximum quantity allowed for purchase is %s.","Ürün için izin verilen en az sipariş adedi : %s. "
"The minimum quantity allowed for purchase is %s.","Ürün için izin verilen en çok sipariş adedi : %s."
"This product is currently out of stock.","Ürün stokta yok."
"Update","Güncelle"
"Update product stock data","Ürün stok verisini güncelle"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Index product stock status","Ürün stok durumunu indeksle"
"Stock status","Stok durumu"
"This product is not available in the requested quantity. %s of the items will be backordered.","Stoklarda bu üründen istediğiniz kadar yok. %s adet ürün önsipariş olarak eklenecek."
"Undefined product type","Ürün tipi belirlenmemiş"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"""%s"" is not available in the requested quantity. %s of the items will be backordered.","İstediğiniz adette ""%s"" stokta yok. %s adet ürün için ön sipariş kaydı oluşturulacak."
"%s is not a correct comparsion method.","%s geçerli bir karşılaştırma yöntemi değil."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Not:</strong> Bu ayarlar sadece sipariş satırlarını etkiler, siparişin genelini etkilemez."
"Add Minimum Qty","En Az Miktarda Ekle"
"Automatically Return Credit Memo Item to Stock","Müşteriye Alacak Kaydı düşüldüyse Ürünü Otomatik Olarak Stoğa Geri Döndür"
"Cannot specify product identifier for the order item.","Siparişteki ürünün tanımlayıcısı bulunamadı."
"Enable Qty Increments","Adet Artırmaya İzin Ver"
"Index Product Stock Status","Ürün Stok Durumlarını İndeksle"
"Minimum Qty","En Az Adet"
"Not all products are available in the requested quantity","İstediğiniz Ürün(ler) İstediğiniz adetler için stok yetersiz"
"Only X left Threshold","Sadece X adet kaldı uyarısı için aralık"
"Qty Increments","Adet Artırımları"
"Qty for Items' Status to Become Out of Stock","Ürünün Stokta Yok gözükmesi için gereken adet"
"Some of the products cannot be ordered in requested quantity.","İstenen bazı ürünler istendiği adette siparişe eklenemez."
"Some of the products cannot be ordered in the requested quantity.","İstenen bazı ürünler istendiği adette siparişe eklenemez."
"Stock Status","Stok Durumu"
"The stock item for Product in option is not valid.","Seçenekteki üründeki stok kaydı hatalı."
"The stock item for Product is not valid.","Bu ürün için stok bilgisi hatalı."
"This product is available for purchase in increments of %s only.","Bu ürün gereken artırma %s ile alındığında satın almaya açıktır."
"Undefined product type.","Belirlenmemiş ürün tipi."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"%s is available for purchase in increments of %s only.","%s alışverişe uygundur. %s artırılarak alınabilir."
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"Display Out of Stock Products","Stokta olmayan ürünleri sitede göster"
"--------------- v 1.6.0.0-rc2 2011-11-07 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Qty for Item's Status to Become Out of Stock","Ürünün Stokta Yok olarak gözükmesi için gereken adet"
"--------------- v 1.6.0.0-rc2 2011-11-07 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.8.0.0 2013-09-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Display products availability in stock in the frontend","Display products availability in stock in the frontend"
"Multi update product stock data","Multi update product stock data"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Some of the products are currently out of stock.","Some of the products are currently out of stock."
"--------------- v 1.8.0.0 2013-09-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
