"Description","Açıklama"
"Description: %s","Açıklama : %s"
"Name: %s","Adı : %s"
"Active","Aktif"
"Actions","İşlemler"
"Date Start","İlk Tarih"
"Product Attribute","Ürün Özellikleri"
"Update product's %s %s: %s","Ürünü güncelle  %s %s: %s"
"Priority","Önem"
"Attribute Set","Özellik Seti"
"Stop further rules processing","Çalışmakta olan kuralların çalışmasını durdur"
"Start at: %s","Başla : %s"
"From Date","Başlama Tarihi"
"Date From","Başlangıç Tarihi"
"Date Expire","Bitiş Tarihi"
"Expire at: %s","Bitiş Tarihi : %s"
"There are rules that has been changed but not applied. To see immediate effect in catalog, please click Apply Rules","Değişiklik yapılmış ama uygulanmamış kurallar var. Bu kuralların ürün kataloğuna etkisini görmek için Kuralları Uygula butonuna basınız..."
"Status","Durum"
"Conditions Combination","Durum Kombinasyonu"
"Conditions","Durumlar"
"Conditions (leave blank for all products)","Durumlar (bütün ürünler için olacaksa boş bırakınız)"
"Yes","Evet"
"Order Invoices","Faturalar"
"Invoices","Faturalar"
"General Information","Genel Bilgi"
"No","Hayır"
"Gift Messages","Hediye Mesajları"
"Order Gift Messages","Hediye Siparişi Mesajları"
"Order Shipments","Kargo"
"Shipments","Kargolar"
"Catalog","Katalog"
"Catalog Price Rule","Katalog Fiyat Kuralı"
"Catalog Price Rules","Katalog Fiyat Kuralları"
"Category","Kategori"
"Save and Apply","Kaydet ve Uygula"
"The page you are trying to save no longer exists","Kaydetmeye çalıştığınız sayfa bulunamıyor"
"Order Credit Memos","Kredi İle Sipariş Notları"
"Credit Memos","Alacak Kayıtları"
"NOT LOGGED IN","KULLANICI GİRİŞİ YAPMAMIŞ"
"Rule Name","Kural Adı"
"Rule Information","Kural Bilgisi"
"This rule no longer exists","Kural bulunamadı..."
"Add New Rule","Kural Ekle"
"Rule was successfully saved","Kural kaydedildi"
"Rule was successfully deleted","Kural silindi"
"Edit Rule","Kuralı Düzenle"
"Edit Rule '%s'","Kuralı Düzenle '%s'"
"Save Rule","Kuralı Kaydet"
"Delete Rule","Kuralı Sil"
"Unable to apply rules","Kurallar uygulanamadı"
"Rules were successfully applied","Kurallar uygulandı"
"Apply Rules","Kuralları Uygula"
"Customer Groups","Müşteri Grupları"
"ID","No"
"Inactive","Pasif"
"Promotions","Promosyonlar"
"Options","Seçenekler"
"Unable to find a page to delete","Silinecek sayfa(lar) bulunamadı"
"Order History","Sipariş Geçmişi"
"To Date","Son Tarih"
"Date To","Son Tarih"
"Websites","Web Siteleri"
"Customer is new buyer: %s","Yeni Alışveriş Yapan Müşteri : %s"
"Customer registered: %s","Yeni Kaydolan Müşteri : %s"
"New Rule","Yeni Kural"
"Comments History","Yorum Geçmişi"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Değişmiş ama uygulanmamış kurallar var. Lütfen kataloğa etkilerini görmek için 'Kuralları Uygula' butonuna basınız."
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Error while deleting rule. Please review log and try again.","Kural silinirken hata oluştu. Lütfen logları inceleyip tekrar deneyiniz."
"Error while saving rule data. Please review log and try again.","Kural kaydedilirken hata oluştu. Lütfen logları inceleyip tekrar deneyiniz."
"Save And Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Type","Tip"
"Wrong rule specified.","Hatalı kural seçimi yapıldı."
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"%d Catalog Price Rules based on ""%s"" attribute have been disabled."," ""%s"" özelliği üzerinden oluşturulan %d promosyon kuralları devre dışı kaldı."
"An error occurred while deleting the rule. Please review the log and try again.","Kural silinirken hata oluştu. Lütfen işlemi kontrol edip tekrar deneyiniz."
"An error occurred while saving the rule data. Please review the log and try again.","Kural kaydedilirken sorun oluştu. Lütfen işlemi kontrol edip tekrar deneyiniz.."
"Customer Registered: %s","Kullanıcı Kaydoldu : %s"
"Customer is a New Buyer: %s","Yeni Müşteri : %s"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Stop Further Rules Processing","Önceki Kuralları Durdur"
"The rule has been deleted.","Kural silindi."
"The rule has been saved.","Kural kaydedildi."
"The rules have been applied.","Kurallar uygulandı."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Güncelleme yapılıp uygulanmamış kural(lar) var. Kuralların mağazadaki etkisini görmek için lütfen Kuralları Uygula işlemi yapınız."
"This rule no longer exists.","Kural bulunamıyor."
"Unable to apply rules.","Kurallar uygulanamadı."
"Unable to find a rule to delete.","Silinecek kural bulunamadı."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc2 2011-11-07 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Apply","Uygula"
"By Fixed Amount","Sabit Rakam"
"By Percentage of the Original Price","Orijinal Fiyatın Yüzdesi"
"Discount Amount","İndirim Miktarı"
"Enable Discount to Subproducts","Alt Ürünlere de indirim uygula"
"To Fixed Amount","Sabit Bir Rakama İndir"
"To Percentage of the Original Price","Orjinal Fiyatın Yüzdesine İndir"
"Update Prices Using the Following Information","Aşağıdaki Bilgilere Göre Fiyatları Güncelle"
"--------------- v 1.6.0.0-rc2 2011-11-07 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Website","Web sitesi"
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
