"An error occurred while clearing the external full page cache.","Dış Tam Sayfa Önbellek temizlenirken sorun oluştu."
"Cookie Lifetime (seconds)","Çerez Ömrü (saniye)"
"Enable External Cache","Dış Önbelleği Aç"
"External Cache Control","Dış Önbellek Kontrolü"
"External Full Page Cache Settings","Dış Tam Sayfa Önbellek Ayarları"
"External full page cache.","Dış tam sayfa önbellek."
"Failed to load external cache control","Dış Tam Sayfa Önbellek yüklenirken sorun oluştu"
"Flush External Page Cache","Dış Tam Sayfa Önbelleğini Tazele"
"If empty, default value will be used.","Eğer boş bırakırsanız, varsayılan değer kullanılacaktır."
"The external full page cache has been cleaned.","Dış Tam Sayfa Önbelleği temizlendi."
"Zend Full Page Cache","Zend Tam Sayfa Önbellek"
