"""Remember Me"" Default Value","""Beni Hatırla"" Varsayılan Değer"
"(Not %s?)","(%s değil misiniz ?)"
"* Required Fields","* Doldurulması zorunlu alanlar"
"Address","Adres"
"Address Information","Adres Bilgisi"
"Already registered?","Zaten sitemize üye misiniz ?"
"Back","Geri"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Eğer üye olursanız; Alışverişlerinizi daha hızlı tamamlar, birden fazla adresinizi sisteme kaydedebilir, siparişlerinize istediğiniz zaman ulaşabilir ve daha bir çok imkandan faydalanabilirsiniz."
"Cannot load configuration from file %s.","%s dosyasından ayarlar okunamadı."
"Checkout as Guest","Misafir olarak Alışverişi Tamamla"
"Checkout as a Guest or Register","Misafir olarak Alışverişi Tamamla veya Üye Kaydı Yap"
"City","İlçe"
"Clear Persistence on Log Out","Çıkış yapılınca Kalıcı Oturumu temizle"
"Close","Kapat"
"Company","Şirket"
"Confirm Password","Şifre (Tekrar)"
"Continue","Devam Et"
"Country","Ülke"
"Create an Account","Hesap Oluştur"
"Easy access to your order history and status","Sipariş geçmişinize ve durumlarına kolay erişim"
"Email Address","Email Adresi"
"Enable ""Remember Me""","""Beni Hatırla"" özelliğini aç"
"Enable Persistence","Kalıcı Oturum özelliğini aç"
"Fast and easy check out","Hızlı ve Kolay Alışveriş Tamamlama"
"Fax","Faks"
"Forgot Your Password?","Şifrenizi mi unuttunuz ?"
"Forgot your password?","Şifrenizi mi unuttunuz ?"
"General Options","Genel Seçenekler"
"If you have an account with us, please log in.","Kayıtlı kullanıcıysanız, giriş yapınız."
"Loading next step...","Bir sonraki adım yükleniyor..."
"Login","Giriş"
"Login Information","Giriş Bilgisi"
"Login or Create an Account","Giriş Yapın veya Üye Olun"
"New Customers","Yeni Müşteriler"
"Password","Şifre"
"Persist Shopping Cart","Kalıcı Sepet"
"Persistence Lifetime (seconds)","Kalıcı Oturum Süresi (saniye)"
"Persistent Shopping Cart","Kalıcı Sepet"
"Personal Information","Kişisel Bilgiler"
"Please log in below:","Lütfen giriş yapınız :"
"Please select region, state or province","Lütfen bölge, şehir veya ilçe seçiniz"
"Register","Üye Ol"
"Register and save time!","Üye kaydı yaparak zaman kazanın!"
"Register to Create an Account","Üye Kaydı Yap"
"Register with us for future convenience:","Daha rahat ve hızlı işlem yapabilmek için üye olun :"
"Registered Customers","Kayıtlı Müşteriler"
"Remember Me","Beni Hatırla"
"Save in address book","Adres defterine kaydet"
"Select State/Province...","Bölge/Şehir Seçiniz..."
"Select a billing address from your address book or enter a new address.","Adres defterinizden bir fatura adresi seçiniz veya yeni bir tane oluşturunuz."
"Ship to different address","Farklı adrese teslim edilsin"
"Ship to this address","Bu adrese teslim edilsin"
"Sign Up for Newsletter","Duyuru Listesine abone olun"
"State/Province","Eyalet/Şehir"
"Street Address","Adres"
"Street Address %s","Adres %s"
"Submit","Gönder"
"Telephone","Telefon"
"Welcome, %s!","Hoşgeldiniz, %s!"
"What\'s this?","Bu Nedir?"
"Zip/Postal Code","Posta Kodu"
"--------------- v 1.7.0.0-alpha 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"VAT Number","Vergi Numarası"
"--------------- v 1.7.0.0-alpha 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-04-28 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Shopping cart has been updated with appropriate prices","Alışveriş sepeti hesaplanan fiyatlar ile güncellendi"
"To proceed to Checkout, please log in using your email address.","Siparişinizi tamamlamak için lütfen e-mail adresinizle sisteme giriş yapınız."
"--------------- v 1.7.0.0-alpha 2012-04-28 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.9.2.2 2016-05-21 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","&quot;Beni Hatırla&quot; seçenğini işaretlemeniz durumunda bu bilgisayarda siteden çıkış yapsanız bile sepet bilginiz kalır."
"Checkout as a Guest","Misafir olarak Alışverişi Tamamla"
"Faster checkout","Daha hızlı alışveriş tamamlama"
"New Here?","Burada yeni misin?"
"Please enter the following information to create your account.","Üyeliğinizin oluşturulması için, lütfen aşağıdaki gerekli alanları doldurunuz."
"Register and Checkout","Üye ol ve Alışverişi Tamamla"
"Registration is free and easy!","Üye olmak çok kolay ve Ücretsiz!"
"Returning Customers","Geri Dönen Müşteriler"
"Save multiple shipping addresses","Birden fazla teslimat adresinizi kaydedebilirsiniz"
"Sign in to speed up your checkout process","Üye girişi yaparak alışverişinizi daha hızlı tamamlayabilirsiniz"
"View and track orders and more","Sipariş detaylarınıza ve bilgilere daha hızlı ulaşabilirsiniz"
"What's this?","Bu nedir?"
"--------------- v 1.9.2.2 2016-05-21 SONU --------------------","////////////////////////////////////////////////////////////////////////"
