"Open","Açık"
"Poll information","Anket Bilgisi"
"Poll Information","Anket Bilgisi"
"Poll not exists","Anket bulunamadı"
"Edit Poll Answer","Anket Cevabını Düzenle"
"Poll Answers","Anket Cevapları"
"Add New Poll","Anket Ekle"
"Poll Question","Anket Sorusu"
"Poll Manager","Anket Yönetimi"
"Edit Poll '%s'","Anketi Düzenle '%s'"
"Save Poll","Anketi Kaydet"
"Delete Poll","Anketi Sil"
"Polls","Anketler"
"Poll with the same question","Aynı soruyla başka bir anket var"
"Actions","İşlemler"
"Assigned Answers","Bağlı cevaplar"
"Answer with the same title in this poll","Bu ankette aynı başlıkla kaydedilmiş bir cevap var"
"Edit Answer '%s'","Cevabı Düzenle : '%s'"
"Save Answer","Cevabı Kaydet"
"Delete Answer","Cevabı Sil"
"Answer Title","Cevap Başlığı"
"Answer Title:","Cevap Başlığı :"
"Add Answer","Cevap Ekle"
"Answer was successfully saved","Cevap kaydedildi"
"Number of Responses","Cevap Sayısı"
"Status","Durum"
"Date Posted","Gönderildiği Tarih"
"Visible In","Görüneceği Yer"
"Invalid Answer","Hatalı Cevap"
"Closed","Kapalı"
"Date Closed","Kapandığı Tarih"
"ID","No"
"Vote","Oy Ver"
"Delete","Sil"
"Unable to find answer to delete.","Silinecek cevap bulunamadı."
"Are you sure you want to delete it?","Silmek istediğinizden emin misiniz ?"
"Votes Count","Toplam Oy Sayısı"
"Votes Count:","Toplam Oy Sayısı:"
"Community Poll","Topluluk Anketi"
"New Poll","Yeni Anket"
"Add New Answer","Yeni Cevap Ekle"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Disallow voting in a poll multiple times from same IP-address","Aynı IP adresinden aynı oylamaya birden fazla oy kullanılmasına izin verme"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Bir Ankere Aynı IP adresinden birden fazla oy kullanılmasına izin verme"
"Invalid Answer.","Hatalı cevap."
"The answer has been saved.","Cevap kaydedildi."
"The poll does not exist.","Anket bulunamıyor."
"Unable to find an answer to delete.","Silmek istediğiniz cevap bulunamıyor."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
