"Alert subscription was saved successfully","Alarm üyeliği eklendi"
"Alert subscription was deleted successfully","Alarm üyeliği silindi"
"Alert Email Sender","Alarm Mailleri Göndericisi"
"Frequency","Aralık"
"You will no longer receive price alerts for this product","Artık bu ürün için fiyat değişim alarmı almayacaksınız."
"You will no longer receive stock alerts for this product","Artık bu ürün için stok değişim alarmı almayacaksınız"
"You will no longer receive stock alerts","Artık stok değişim alarmı almayacaksınız"
"Product Alerts","Ürün Alarmları"
"Product Alerts Run Settings","Ürün Alarmları Çalışma Ayarları"
"Product alerts Cron error","Ürün Alarmları için Zamanlama hatası"
"Product not found","Ürün bulunamadı"
"Product price alert","Ürün Fiyat Değişimi Alarmı"
"Product stock alert","Ürün Stok Değişimi Alarmı"
"Allow alert when product comes back in stock","Ürün stoklara girdiğinde alarm mailleri gönderilmesine izin ver"
"Special price:","Özel Fiyat :"
"Start Time","Başlama Zamanı"
"Unsubscribe from all price alerts","Bütün fiyat değişim alarmlarını iptal et"
"Unsubscribe from all stock alerts","Bütün stok değişim alarmlarını iptal et"
"Click here not to receive alerts for this product","Bu ürün için alarm almak istemiyorsanız BURAYA tıklayınız"
"Sign up to get notified when this product is back in stock","Bu ürün stoklara girdiğinde uyarılmak için listeye eklenmelisiniz"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Bu mesajı sitemizde fiyat değişim alarmına abone olduğunuz için alıyorsunuz :"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Bu mesajı sitemizde stok değişim alarmına abone olduğunuz için alıyorsunuz :"
"Price:","Fiyat :"
"Price alert Email Template","Fiyat Alarmı mail şablonu"
"Sign up for price alert","Fiyat değişim alarmına abone ol"
"Allow alert when product price changes","Fiyat değişiminde alarm mailleri gönderilmesine izin ver"
"Error Email Recipient","Hata E-Maili Alıcısı"
"Error Email Template","Hata E-Maili Şablonu"
"Error Email Sender","Hata E-Maili Göndericisi"
"Please try again later","Lütfen daha sonra tekrar deneyiniz"
"Stock alert Email Template","Stok değişim alarmına abone ol"
"Not enough parameters","Yetersiz parametre"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Regular Price:","Normal Fiyat:"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Alert subscription has been saved.","Alarm aboneliği kaydedildi."
"Allow Alert When Product Comes Back in Stock","Ürün Stoğa Girdi alarmına izin ver"
"Allow Alert When Product Price Changes","Fiyat Değişimi alarmına izin ver"
"Not enough parameters.","Yetersiz parametre."
"Price Alert Email Template","Ürün Fiyat Alarmı e-mail şablonu"
"Stock Alert Email Template","Ürün Stok Alarmı e-mail şablonu"
"The alert subscription has been deleted.","Alarm aboneliği silindi."
"The alert subscription has been saved.","Alarm aboneliği kaydedildi."
"The product is not found.","Ürün bulunamadı."
"The product was not found.","Ürün bulunamadı."
"Unable to update the alert subscription.","Alarm aboneliği güncellenemiyor."
"You will no longer receive price alerts for this product.","Bu ürün için artık fiyat değişim alarmı almayacaksınız."
"You will no longer receive stock alerts for this product.","Bu ürün için artık stok değişim alarmı almayacaksınız."
"You will no longer receive stock alerts.","Artık stok alarmları mail adresinize gönderilmeyecek."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
