"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Tüm Kredi Kartları / Visa, Mastercard, AMEX, JCB, Diners (MoneyBookers tarafından sağlanmaktadır) - Uluslararası"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (MoneyBookers tarafından sağlanmaktadır) - İtalya"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (MoneyBookers tarafından sağlanmaktadır) - Fransa"
"Customer ID","Müşteri No"
"Dankort (powered by Moneybookers) - Denmark","Dankort (MoneyBookers tarafından sağlanmaktadır) - Danimarka"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (MoneyBookers tarafından sağlanmaktadır) - Avusturya"
"Enabled","Açık"
"Giropay (powered by Moneybookers) - Germany","Giropay (MoneyBookers tarafından sağlanmaktadır) - Almanya"
"Laser (powered by Moneybookers) - Ireland","Laser (MoneyBookers tarafından sağlanmaktadır) - İrlanda"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (MoneyBookers tarafından sağlanmaktadır) - Almanya"
"Loading secure payment page (SSL)","Güvenli Ödeme Sayfası Yükleniyor (SSL)"
"Moneybookers","Moneybookers"
"Moneybookers Info URL","Moneybookers Bilgi Adresi"
"Moneybookers Settings","Moneybookers Ayarları"
"Moneybookers Transaction ID: %s","Moneybookers İşlem No: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Moneybookers Hakkında Daha Fazla Bilgi"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (MoneyBookers tarafından sağlanmaktadır) - Finlandiya"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (MoneyBookers tarafından sağlanmaktadır) - İsveç"
"Order ID","Sipariş No"
"POLi (powered by Moneybookers) - Australia","POLi (MoneyBookers tarafından sağlanmaktadır) - Avusturalya"
"Payment failed.","Ödeme başarısız."
"Payment from Applicable Countries","İzin Verilen Tüm Ülkelerden Tahsilat Yap"
"Payment from Specific Countries","Sadece Seçili Ülkelerden Tahsilat Yap"
"Payment has not been processed yet.","Tahsilat İşlemi henüz yapılmadı."
"Payment was canceled.","Ödeme iptal edildi."
"Pending bank transfer created.","Beklenen Banka havalesi kaydı oluşturuldu."
"Please pay your order now","Lütfen Sipariş Bedelini Şimdi Ödeyiniz"
"Postepay (powered by Moneybookers) - Italy","Postepay (MoneyBookers tarafından sağlanmaktadır) - İtalya"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (MoneyBookers tarafından sağlanmaktadır) - Polonya"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (MoneyBookers tarafından sağlanmaktadır) - Almanya"
"Sort Order","Sıralama"
"The amount has been authorized and captured by Moneybookers.","Sipariş tutarı Moneybookers tarafından tahsil edildi."
"The customer was redirected to Moneybookers.","Müşteri MoneyBookers'a yönlendirildi."
"The order has been canceled.","Sipariş İptal Edildi."
"Title","Başlık"
"You will be redirected to our secure payment page when you place an order.","Siparişi tamamladığınızda Tahsilatın yapılabilmesi için Güvenli Ödeme Sayfamıza yönlendirileceksiniz."
"eNETS (powered by Moneybookers) - Singapore","eNETS (MoneyBookers tarafından sağlanmaktadır) - Singapur"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (MoneyBookers tarafından sağlanmaktadır) - Hollanda"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Find out more about Online Bank Transfer","Online Havale için detaylı bilgi"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (Moneybookers hizmetidir) - İngiltere, Avusturya, İspanya"
"Online Bank Transfer (powered by Moneybookers)","Online Havale (Moneybookers hizmetidir)"
"Powered by Moneybookers","Moneybookers hizmetidir"
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
